Sub-network,Date,Latency (ms), MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [3, 7, 5, 5, 7, 7, 5, 7, 3, 5, 5, 3, 7, 7, 5, 3, 3, 5, 5, 7], 'e': [4, 6, 3, 3, 4, 3, 4, 6, 3, 6, 3, 4, 6, 3, 3, 4, 6, 4, 6, 3], 'd': [3, 2, 3, 4, 3], 'r': [224]}",2022-07-07 03:41:10.990770,0,433536816,77.886
"{'wid': None, 'ks': [5, 7, 5, 3, 5, 7, 3, 3, 7, 3, 5, 3, 3, 7, 7, 3, 3, 7, 5, 7], 'e': [4, 6, 6, 4, 4, 4, 3, 3, 4, 6, 6, 6, 3, 4, 3, 3, 3, 6, 6, 6], 'd': [4, 4, 2, 3, 4], 'r': [224]}",2022-07-07 03:43:09.614315,0,493042104,78.006
"{'wid': None, 'ks': [5, 3, 5, 7, 7, 3, 5, 5, 7, 5, 5, 5, 3, 3, 7, 7, 3, 5, 3, 5], 'e': [4, 3, 4, 4, 6, 6, 3, 4, 4, 4, 4, 3, 4, 3, 4, 3, 3, 4, 6, 4], 'd': [3, 4, 2, 2, 3], 'r': [224]}",2022-07-07 03:44:52.806645,0,348807352,76.752
"{'wid': None, 'ks': [5, 7, 7, 5, 5, 7, 5, 3, 3, 7, 3, 7, 7, 3, 5, 5, 3, 3, 7, 3], 'e': [6, 6, 3, 4, 4, 4, 6, 3, 6, 3, 4, 6, 6, 6, 6, 4, 6, 3, 3, 6], 'd': [2, 4, 2, 4, 4], 'r': [224]}",2022-07-07 03:46:50.118686,0,514405552,78.284
"{'wid': None, 'ks': [5, 5, 5, 7, 3, 5, 3, 7, 7, 5, 3, 3, 5, 5, 3, 7, 7, 7, 3, 5], 'e': [4, 3, 3, 6, 6, 6, 4, 4, 6, 3, 6, 3, 6, 6, 4, 3, 3, 6, 3, 4], 'd': [3, 4, 4, 3, 2], 'r': [224]}",2022-07-07 03:48:37.104768,0,438078040,77.888
"{'wid': None, 'ks': [5, 5, 3, 3, 3, 5, 5, 7, 7, 7, 5, 3, 3, 5, 5, 5, 7, 7, 3, 7], 'e': [4, 4, 4, 4, 6, 6, 3, 4, 4, 4, 6, 6, 6, 4, 6, 3, 4, 4, 6, 6], 'd': [3, 2, 4, 2, 3], 'r': [224]}",2022-07-07 03:50:15.587132,0,396235296,77.542
"{'wid': None, 'ks': [7, 3, 3, 3, 3, 5, 5, 7, 5, 7, 7, 3, 7, 3, 3, 5, 7, 5, 7, 7], 'e': [3, 6, 3, 4, 4, 3, 6, 6, 4, 3, 3, 3, 4, 4, 6, 3, 6, 4, 3, 3], 'd': [3, 4, 3, 4, 4], 'r': [224]}",2022-07-07 03:52:21.909756,0,462115024,78.272
"{'wid': None, 'ks': [5, 3, 7, 5, 7, 7, 5, 5, 3, 3, 7, 5, 3, 5, 5, 5, 5, 5, 3, 7], 'e': [6, 6, 4, 6, 3, 6, 3, 3, 3, 4, 3, 6, 4, 3, 6, 3, 4, 3, 4, 6], 'd': [3, 3, 3, 4, 4], 'r': [224]}",2022-07-07 03:54:22.516191,0,477175328,77.854
"{'wid': None, 'ks': [3, 7, 3, 3, 3, 3, 7, 3, 7, 7, 3, 7, 5, 5, 3, 7, 5, 5, 5, 5], 'e': [6, 6, 6, 3, 3, 4, 6, 4, 4, 6, 6, 3, 6, 6, 3, 6, 3, 3, 4, 3], 'd': [2, 4, 4, 4, 3], 'r': [224]}",2022-07-07 03:56:24.013108,0,510606072,77.964
"{'wid': None, 'ks': [5, 7, 3, 5, 7, 3, 3, 5, 7, 7, 3, 7, 7, 5, 7, 7, 5, 3, 3, 5], 'e': [6, 6, 6, 3, 6, 6, 4, 3, 6, 4, 3, 4, 4, 4, 4, 6, 6, 6, 6, 3], 'd': [3, 2, 2, 2, 3], 'r': [224]}",2022-07-07 03:57:55.588058,0,437591216,77.624
